arm,archetype,payments,recall,median_score,amount_inr,caught_inr,threshold
baseline,card_testing,161,0.9627329192546584,0.9987478275394164,146,136,0.985
baseline,refund_abuse,111,0.15315315315315314,0.898661095496635,195273,32554,0.985
baseline,bust_out,3,0.0,0.17717649295515653,8226,0,0.985
graph,card_testing,161,0.9751552795031055,0.9990491923284973,146,142,0.9319
graph,refund_abuse,111,0.963963963963964,0.998650336403085,195273,188035,0.9319
graph,bust_out,3,0.3333333333333333,0.8769792934296861,8226,2198,0.9319
