arm,archetype,payments,recall,median_score,amount_inr,caught_inr,threshold
baseline,card_testing,901,0.9733629300776915,0.9998292267112692,769,756,0.9895
baseline,refund_abuse,348,0.4281609195402299,0.980661843845432,643730,310647,0.9895
baseline,bust_out,400,0.5425,0.9923962390242911,1244229,649332,0.9895
graph,card_testing,901,0.9811320754716981,0.9997611671262122,769,748,0.9864
graph,refund_abuse,348,0.9224137931034483,0.999585037806145,643730,602892,0.9864
graph,bust_out,400,0.835,0.999079139914746,1244229,1031958,0.9864
